# CF 优选 IP 合并清单 | 共 491 条 | 由 5 个公开源合并去重
# 来源: https://cf.junzhen.qzz.io/best_ips.txt + https://cf.junzhen.qzz.io/full_ips.txt + https://raw.githubusercontent.com/cmliu/WorkerVless2sub/main/addressesapi.txt + https://raw.githubusercontent.com/KafeMars/best-ips-domains/main/cf-bestips.txt + https://raw.githubusercontent.com/HandsomeMJZ/cfip/main/best_ips.txt
# 带速度标注的最优选在前。可直接填进 edgetunnel『优选订阅地址』
45.144.28.101:443#FR [0M]
217.60.63.206:8443#FR [0M]
93.186.64.49:2053#FR [0M]
51.210.243.206:2053#FR [0M]
37.148.204.142:443#FR [0M]
185.49.33.34:443#GB [0M]
185.217.110.23:443#GB [0M]
185.248.86.218:443#GB [0M]
157.245.46.237:443#GB [0M]
157.245.34.157:2083#GB [0M]
136.244.79.235:2083#GB [0M]
35.176.187.206:443#GB [0M]
138.68.171.126:443#GB [0M]
64.227.40.56:443#GB [0M]
165.232.39.158:8443#GB [0M]
80.75.215.113:443#GE [0M]
206.53.48.205:443#GE [0M]
94.43.238.112:2053#GE [0M]
194.135.119.198:443#GE [0M]
85.90.197.157:443#GR [0M]
38.54.29.210:2053#GR [0M]
94.131.16.36:443#GR [0M]
85.90.197.158:443#GR [0M]
94.131.16.25:443#GR [0M]
91.250.248.151:443#GR [0M]
45.10.190.30:443#GR [0M]
91.250.248.68:443#GR [0M]
151.242.125.102:443#HK [0M]
149.104.6.130:443#HK [0M]
23.141.12.134:8443#HK [0M]
85.121.51.14:2087#HK [0M]
39.109.50.142:443#HK [0M]
149.104.28.251:443#HK [3M]
38.6.219.3:8443#HK [0M]
149.104.29.237:443#HK [0M]
45.153.130.61:2053#HK [0M]
45.153.130.61:8443#HK [0M]
38.180.225.247:2053#HU [0M]
37.221.210.113:8443#HU [0M]
91.219.236.136:2053#HU [0M]
15.232.155.235:443#ID [0M]
43.229.254.71:443#ID [0M]
116.212.73.46:443#ID [0M]
15.232.137.242:443#ID [0M]
43.229.254.182:443#ID [0M]
54.229.164.147:8443#IE [0M]
54.229.164.147:2053#IE [0M]
63.32.194.15:8443#IE [0M]
108.128.156.233:443#IE [0M]
52.19.138.237:2053#IE [0M]
5.157.30.3:8443#IE [0M]
23.95.225.10:8443#IE [0M]
167.160.177.68:2096#IE [0M]
194.87.245.205:8443#IE [0M]
198.55.103.168:443#IE [0M]
185.241.7.178:443#IL [0M]
185.253.75.119:443#IL [0M]
64.176.167.56:8443#IL [0M]
94.136.185.7:8443#IN [0M]
64.227.174.213:2053#IN [0M]
168.144.91.212:443#IN [0M]
168.144.155.167:443#IN [0M]
20.235.105.146:443#IN [0M]
68.233.107.29:443#IN [0M]
5.253.28.113:443#IN [0M]
64.227.174.213:8443#IN [0M]
157.20.27.113:8443#IN [0M]
5.253.29.83:443#IN [0M]
89.147.109.212:443#IS [0M]
89.127.235.250:443#IS [0M]
194.247.182.120:8443#IS [0M]
195.162.68.79:443#IS [0M]
185.146.234.91:443#IS [0M]
195.246.230.132:443#IS [0M]
195.246.230.125:443#IS [0M]
138.16.178.169:443#IS [0M]
172.235.229.214:443#IT [0M]
172.232.212.218:8443#IT [0M]
172.232.206.9:443#IT [0M]
179.255.190.5:443#IT [0M]
179.255.190.7:443#IT [0M]
179.255.190.10:443#IT [0M]
46.28.68.7:443#IT [0M]
80.211.24.214:443#IT [0M]
80.211.24.141:443#IT [0M]
89.46.70.144:443#IT [0M]
116.62.138.224:443#JP [0M]
160.191.40.63:8443#JP [0M]
172.237.5.239:443#JP [0M]
158.51.109.51:443#JP [0M]
151.242.164.101:443#JP [0M]
43.163.199.247:443#JP [0M]
160.16.62.225:443#JP [0M]
43.165.178.147:8443#JP [0M]
43.165.189.163:443#JP [0M]
13.114.50.138:8443#JP [0M]
188.240.213.98:8443#KG [0M]
95.215.244.116:443#KG [0M]
38.54.4.209:443#KH [0M]
85.155.176.44:8443#KR [0M]
85.155.176.105:8443#KR [0M]
123.111.169.70:2053#KR [0M]
123.111.169.70:8443#KR [0M]
168.107.0.210:443#KR [0M]
43.108.46.150:8443#KR [0M]
158.247.198.111:443#KR [0M]
141.164.42.2:443#KR [0M]
141.164.37.50:443#KR [0M]
64.176.230.12:443#KR [0M]
109.248.18.35:443#KZ [0M]
109.248.18.145:443#KZ [0M]
194.32.142.88:443#KZ [0M]
87.199.130.156:8443#KZ [0M]
94.131.83.5:8443#KZ [0M]
45.136.57.82:2053#KZ [0M]
94.131.83.5:2053#KZ [0M]
178.88.185.118:443#KZ [0M]
5.180.40.166:443#KZ [0M]
213.155.29.116:443#KZ [0M]
185.80.128.20:443#LT [0M]
185.80.131.182:2053#LT [0M]
194.135.91.96:443#LT [0M]
72.56.5.222:443#LT [0M]
80.209.231.51:443#LT [0M]
185.237.185.182:2053#LT [0M]
80.209.232.78:443#LT [0M]
185.80.131.182:443#LT [0M]
185.80.129.84:443#LT [0M]
94.176.235.22:443#LT [0M]
94.183.189.154:443#LV [0M]
194.58.34.59:443#LV [0M]
185.135.86.41:443#LV [0M]
31.56.27.128:443#LV [0M]
185.22.173.157:443#LV [0M]
195.123.210.189:8443#LV [0M]
37.128.207.210:8443#LV [0M]
31.57.62.75:443#LV [0M]
151.242.43.44:2053#LV [0M]
